Antraštė,Kategorija,Nuoroda
Nausėda perspėja dėl taikos derybų rizikos: Rusijai reikia tik vieno,Lietuvoje,/news/daily/lithuania/nauseda-perspeja-del-taikos-derybu-rizikos-rusijai-reikia-tik-vieno-95747357
Didžiausi atlyginimai Lietuvoje – vienoje įmonėje praėjusį mėnesį pašoko iki 114 tūkst. eurų,Verslas,https://www.delfi.lt/verslas/mano-eurai/didziausi-atlyginimai-lietuvoje-vienoje-imoneje-praejusi-menesi-pasoko-iki-114-tukst-euru-95742771
Po teismo sprendimo Vilčinskams bus grąžinti jų vaikai,Lietuvoje,/news/daily/lithuania/po-teismo-sprendimo-vilcinskams-bus-grazinti-ju-vaikai-95748855
Nausėda abejoja valdančiųjų valia ieškant sprendimų dėl gynybos: matau norą nustumti šitą klausimą,Lietuvoje,/news/daily/lithuania/nauseda-abejoja-valdanciuju-valia-ieskant-sprendimu-del-gynybos-matau-nora-nustumti-sita-klausima-95749387
Po konflikto su Šeškumi iš Jonavos išvyksta dar vienas legionierius,Krepšinis,https://www.delfi.lt/krepsinis/lkl/po-konflikto-su-seskumi-is-jonavos-isvyksta-dar-vienas-legionierius-95748397
"Grynaisiais atsiskaityti galima ne už viską – apribojus sumą sulaukta gudravimų, skirta baudų",Verslas,https://www.delfi.lt/verslas/mano-eurai/grynaisiais-atsiskaityti-galima-ne-uz-viska-apribojus-suma-sulaukta-gudravimu-skirta-baudu-95700739
"Ukrainoje paskleisti gandai apie Zalužną, skelbiama apie Zelenskio „pasiūlymą“",Užsienyje,/news/daily/world/ukrainoje-paskleisti-gandai-apie-zaluzna-skelbiama-apie-zelenskio-pasiulyma-95747109
Už 7 mlrd. šviesmečių nuo Žemės aptiktas vienas didžiausių iki šiol tyrinėtų kosminių darinių Visatoje,Mokslas,https://www.delfi.lt/mokslas/mokslas/uz-7-mlrd-sviesmeciu-nuo-zemes-aptiktas-vienas-didziausiu-iki-siol-tyrinetu-kosminiu-dariniu-visatoje-95745997
Žiniasklaida: Pakso žentui Stumbrui gresia nemalonumai dėl pavojingų ryšių,Lietuvoje,/news/daily/lithuania/ziniasklaida-pakso-zentui-stumbrui-gresia-nemalonumai-del-pavojingu-rysiu-95746857
"SEB bankas suteikė 1,2 mln. eurų žaliąją paskolą bendrovės „Sirin Development“ saulės elektrinių plėtrai finansuoti",Tvari Lietuva (Verslas praneša),https://www.delfi.lt/uzsakomasis-turinys/verslas-pranesa/seb-bankas-suteike-1-2-mln-euru-zaliaja-paskola-bendroves-sirin-development-saules-elektriniu-pletrai-finansuoti-95737315
"Bitkoino ir kripto savaitė: 580 mln. vartotojų, arši konkurencija ir dirbtinio intelekto vaidmuo",Verslas,https://www.delfi.lt/verslas/rinka/bitkoino-ir-kripto-savaite-580-mln-vartotoju-arsi-konkurencija-ir-dirbtinio-intelekto-vaidmuo-95742753
"Muskas praneša, kad jo startuolis „Neuralink“ pirmajam pacientui įdėjo smegenų implantą",Login,https://www.delfi.lt/login/technologijos/naujienos/muskas-pranesa-kad-jo-startuolis-neuralink-pirmajam-pacientui-idejo-smegenu-implanta-95748649
"Lietuva ginčijasi dėl divizijos, tankų ir dronų, bet pamiršta esmę: tai ne šiaip milžiniškų pinigų klausimas",Lietuvoje,/news/daily/lithuania/lietuva-gincijasi-del-divizijos-tanku-ir-dronu-bet-pamirsta-esme-tai-ne-siaip-milzinisku-pinigu-klausimas-95745663
Vilniuje uždaromas mobilių mokėjimų įmonės padalinys: paveiks 100 darbo vietų,Verslas,https://www.delfi.lt/verslas/verslas/vilniuje-uzdaromas-mobiliu-mokejimu-imones-padalinys-paveiks-100-darbo-vietu-95748319
Skaisgirytė: prezidentas pasiuntė Landsbergiui labai stiprią žinutę,Lietuvoje,/news/daily/lithuania/skaisgiryte-prezidentas-pasiunte-landsbergiui-labai-stipria-zinute-95746907
"Papasakojo, kas vyksta mūsų organizme pasigavus gripo virusą: kartais tai blogiau už bakterijas",Sveikata,https://www.delfi.lt/sveikata/persalimas/papasakojo-kas-vyksta-musu-organizme-pasigavus-gripo-virusa-kartais-tai-blogiau-uz-bakterijas-95747111
"Sobčak skelbia žinanti, kas Putinui papasakojo apie skandalingąjį vakarėlį",Užsienyje,/news/daily/world/sobcak-skelbia-zinanti-kas-putinui-papasakojo-apie-skandalingaji-vakareli-95743155
Karas Ukrainoje. Ukraina praneša apie Luhansko srityje numuštą Rusijos lėktuvą Su-34,Užsienyje,/news/daily/world/karas-ukrainoje-ukraina-pranesa-apie-luhansko-srityje-numusta-rusijos-lektuva-su-34-95746199
"Liūdna žinia kavos mėgėjams: prognozuojama, kad artimiausioje ateityje ją įpirkti galės ne visi",Maistas,https://www.delfi.lt/maistas/skoniu-naujienos/liudna-zinia-kavos-megejams-prognozuojama-kad-artimiausioje-ateityje-ja-ipirkti-gales-ne-visi-95741305
"Savo namuose negyva rasta pornografinių filmų žvaigždė Jesse Jane, šalia jos – ir mylimojo kūnas",Veidai,https://www.delfi.lt/veidai/uzsienio-zvaigzdes/savo-namuose-negyva-rasta-pornografiniu-filmu-zvaigzde-jesse-jane-salia-jos-ir-mylimojo-kunas-95720029
Laikas patikrinti savo IQ koeficientą: per 5 sekundes raskite klaidą kambario paveikslėlyje,Gyvenimas,https://www.delfi.lt/gyvenimas/psichologija/laikas-patikrinti-savo-iq-koeficienta-per-5-sekundes-raskite-klaida-kambario-paveikslelyje-95743345
"Trys dalykai, kurie paskatins knygas skaityti net ir prie ekranų prilipusius vaikus: svarbiausia – neverskite",Šeima,https://www.delfi.lt/seima/ugdymas/trys-dalykai-kurie-paskatins-knygas-skaityti-net-ir-prie-ekranu-prilipusius-vaikus-svarbiausia-neverskite-95739219
"Ligų simptomus gali sukelti ir vaistai: gydytojas Morozovas įspėjo, kada jie tik pakenks",Sveikata,https://www.delfi.lt/sveikata/zinoti-sveika/ligu-simptomus-gali-sukelti-ir-vaistai-gydytojas-morozovas-ispejo-kada-jie-tik-pakenks-95745769
Jungtinėje Karalystėje įsisiautėjo maisto infliacija: ką parodė „pusryčių indeksas“,Verslas,https://www.delfi.lt/verslas/bloomberg/jungtineje-karalysteje-isisiautejo-maisto-infliacija-ka-parode-pusryciu-indeksas-95692273
Prof. Andrejus Spiridonovas. Žmonija – ant išnykimo slenksčio. Mums liko tik dvi išeitys,Mokslas,https://www.delfi.lt/mokslas/mokslas/prof-andrejus-spiridonovas-zmonija-ant-isnykimo-slenkscio-mums-liko-tik-dvi-iseitys-95743909
"Tauragiškis nenustoja kartoti, kad Lietuvos teisėjai – „subingalviai ateiviai“: už tai ilgai sėdės kalėjime",Lietuvoje,/news/daily/lithuania/tauragiskis-nenustoja-kartoti-kad-lietuvos-teisejai-subingalviai-ateiviai-uz-tai-ilgai-sedes-kalejime-95715431
„Bloomberg“: Bidenui teks priimti vieną lemtingiausių sprendimų per visą kadenciją,Užsienyje,/news/daily/world/bloomberg-bidenui-teks-priimti-viena-lemtingiausiu-sprendimu-per-visa-kadencija-95743379
"Garsi psichologė paaiškino, kokio tipo vyrai visada bus neištikimi ir kodėl ne visada įmanoma pastebėti pavojaus signalus",Moterys,https://www.delfi.lt/moterys/santykiai/garsi-psichologe-paaiskino-kokio-tipo-vyrai-visada-bus-neistikimi-ir-kodel-ne-visada-imanoma-pastebeti-pavojaus-signalus-95736291
"Kaip sovietmečiu kovojo su pornografija: netinkamais pripažinti ne tik filmai, kuriuose vaizduojamos nuogos moterys, bet ir tokie kaip „Krikštatėvis“",Gyvenimas,https://www.delfi.lt/gyvenimas/istorijos/kaip-sovietmeciu-kovojo-su-pornografija-netinkamais-pripazinti-ne-tik-filmai-kuriuose-vaizduojamos-nuogos-moterys-bet-ir-tokie-kaip-krikstatevis-95736639
